'CMK.exp_tail_hasSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_hasSum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_remainder_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_remainder_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_remainder_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_optimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.factorial_shift_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_term_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_le_lagrange' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_coefficient_lt_lagrange' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_discarded_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_discarded_distance' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.centered_mass_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.summed_exp_remainder' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.summed_centered_remainder' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.projected_mass_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.projected_center_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.full_mass_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.discarded_center_perturbation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.full_score_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.moment_block_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.moment_block_mass_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.moment_block_numerator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.full_attention_observation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.mul_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.residual_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.residual_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.observation_cell' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.lowerChoice_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.upperChoice_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.lowerChoice_attains' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.upperChoice_attains' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.lower_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.upper_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.term_refinement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.residual_refinement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.observation_cell_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.finite_mean_centering' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.projected_score_centering' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.second_moment_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.signed_second_moment_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.signed_moment_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.second_moment_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.linear_moment_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.quadratic_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.signed_moment_omission_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.exp_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.mass_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.central_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.centered_remainder_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.gated_residual_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.gated_remainder_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.constant_consumer' does not depend on any axioms
'CMK.monotone_rounding' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.strict_argmax' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.interval_intersection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.transition_composition' depends on axioms: [Quot.sound]
'CMK.positive_weight_perturbation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.central_weight_perturbation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.centered_value_mass_coupling' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.quadratic_rowsum_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CMK.coordinate_radius_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
